'Simulation','Policy','n_Public_Ambulance','n_Private_Ambulance','n_Car','PatientProbability','Patients_Created','Public_Ambulance_Saved','Private_Ambulance_Saved','Car_Saved','Dead','Alive','Public_Ambulance_Cost','Private_Ambulance_Cost','Total_Cost'
'AveragedSim',1,4.0,0.0,0.0,0.2,2008.4,1859.0,0.0,0.0,140.15,9.25,40000.0,0.0,40000.0
'Simulation 101',1,4,0,0,0.5,5026,2686,0,0,2297,43,40000,0,40000
'Simulation 102',1,4,0,0,0.5,4947,2434,0,0,2471,42,40000,0,40000
'Simulation 103',1,4,0,0,0.5,5059,2527,0,0,2499,33,40000,0,40000
'Simulation 104',1,4,0,0,0.5,5027,2767,0,0,2224,36,40000,0,40000
'Simulation 105',1,4,0,0,0.5,4947,2484,0,0,2427,36,40000,0,40000
'Simulation 106',1,4,0,0,0.5,4891,2514,0,0,2345,32,40000,0,40000
'Simulation 107',1,4,0,0,0.5,5044,2951,0,0,2068,25,40000,0,40000
'Simulation 108',1,4,0,0,0.5,5020,2368,0,0,2613,39,40000,0,40000
'Simulation 109',1,4,0,0,0.5,5093,2616,0,0,2440,37,40000,0,40000
'Simulation 110',1,4,0,0,0.5,5027,2712,0,0,2274,41,40000,0,40000
'Simulation 111',1,4,0,0,0.5,4933,2768,0,0,2132,33,40000,0,40000
'Simulation 112',1,4,0,0,0.5,5046,2749,0,0,2253,44,40000,0,40000
'Simulation 113',1,4,0,0,0.5,5001,2721,0,0,2247,33,40000,0,40000
'Simulation 114',1,4,0,0,0.5,4961,2696,0,0,2230,35,40000,0,40000
'Simulation 115',1,4,0,0,0.5,5113,2405,0,0,2668,40,40000,0,40000
'Simulation 116',1,4,0,0,0.5,5083,2580,0,0,2470,33,40000,0,40000
'Simulation 117',1,4,0,0,0.5,4972,2752,0,0,2199,21,40000,0,40000
'Simulation 118',1,4,0,0,0.5,4915,2635,0,0,2247,33,40000,0,40000
'Simulation 119',1,4,0,0,0.5,4956,2571,0,0,2342,43,40000,0,40000
'Simulation 120',1,4,0,0,0.5,4966,2776,0,0,2160,30,40000,0,40000
'AveragedSim',1,4.0,0.0,0.0,0.5,5001.35,2635.6,0.0,0.0,2330.3,35.45,40000.0,0.0,40000.0
'Simulation 121',1,5,0,0,0.15,1455,1451,0,0,1,3,50000,0,50000
'Simulation 122',1,5,0,0,0.15,1488,1481,0,0,1,6,50000,0,50000
'Simulation 123',1,5,0,0,0.15,1483,1475,0,0,5,3,50000,0,50000
'Simulation 124',1,5,0,0,0.15,1494,1489,0,0,4,1,50000,0,50000
'Simulation 125',1,5,0,0,0.15,1518,1512,0,0,1,5,50000,0,50000
'Simulation 126',1,5,0,0,0.15,1507,1504,0,0,1,2,50000,0,50000
'Simulation 127',1,5,0,0,0.15,1534,1526,0,0,2,6,50000,0,50000
'Simulation 128',1,5,0,0,0.15,1497,1489,0,0,3,5,50000,0,50000
'Simulation 129',1,5,0,0,0.15,1461,1459,0,0,0,2,50000,0,50000
'Simulation 130',1,5,0,0,0.15,1514,1505,0,0,2,7,50000,0,50000
'Simulation 131',1,5,0,0,0.15,1531,1525,0,0,1,5,50000,0,50000
'Simulation 132',1,5,0,0,0.15,1506,1500,0,0,2,4,50000,0,50000
'Simulation 133',1,5,0,0,0.15,1438,1429,0,0,4,5,50000,0,50000
'Simulation 134',1,5,0,0,0.15,1473,1463,0,0,2,8,50000,0,50000
'Simulation 135',1,5,0,0,0.15,1472,1458,0,0,6,8,50000,0,50000
'Simulation 136',1,5,0,0,0.15,1548,1545,0,0,1,2,50000,0,50000
'Simulation 137',1,5,0,0,0.15,1511,1508,0,0,0,3,50000,0,50000
'Simulation 138',1,5,0,0,0.15,1479,1473,0,0,3,3,50000,0,50000
'Simulation 139',1,5,0,0,0.15,1566,1558,0,0,1,7,50000,0,50000
'Simulation 140',1,5,0,0,0.15,1492,1483,0,0,3,6,50000,0,50000
'AveragedSim',1,5.0,0.0,0.0,0.15,1498.35,1491.65,0.0,0.0,2.15,4.55,50000.0,0.0,50000.0
'Simulation 141',1,5,0,0,0.2,2023,1974,0,0,44,5,50000,0,50000
'Simulation 142',1,5,0,0,0.2,2034,1990,0,0,36,8,50000,0,50000
'Simulation 143',1,5,0,0,0.2,1985,1959,0,0,20,6,50000,0,50000
'Simulation 144',1,5,0,0,0.2,1986,1952,0,0,29,5,50000,0,50000
'Simulation 145',1,5,0,0,0.2,2002,1972,0,0,21,9,50000,0,50000
